number,value,datetime_start,datetime_complete,duration,params_adaptive_beta,params_batch,params_depth,params_lr,params_width,user_attrs_elapsed_s,user_attrs_lambda_bc_final,user_attrs_lambda_ic_final,state
80,0.08847702261418525,2026-05-25 03:51:35.196634,2026-05-25 03:52:34.722307,0 days 00:00:59.525673,0.9616160464950648,256,3,0.0022184415668533904,64,59.3779210030043,4102.5821674813615,3384.6347644832776,COMPLETE
81,0.12020441935334195,2026-05-25 03:52:34.747928,2026-05-25 03:53:30.281213,0 days 00:00:55.533285,0.9598120461646117,256,3,0.001995175853560147,64,55.38200984799187,640.8926540511113,209.73193830051093,COMPLETE
82,0.06426654427119703,2026-05-25 03:53:30.304496,2026-05-25 03:54:27.556304,0 days 00:00:57.251808,0.9609402971992413,256,3,0.0020667030862179673,80,57.11485047599126,17559.857200468192,15053.656393156489,COMPLETE
83,0.1770442746228254,2026-05-25 03:54:27.587236,2026-05-25 03:55:07.097029,0 days 00:00:39.509793,0.9682495012351667,256,2,0.001151482111418382,80,39.36700371799816,440.36324703047313,16.012752590834307,COMPLETE
84,0.16557850068042185,2026-05-25 03:55:07.118744,2026-05-25 03:55:52.744537,0 days 00:00:45.625793,0.9017049926584426,128,2,0.0021704994904926003,80,45.48188932900666,725.6840590588638,64.55735235674487,COMPLETE
85,0.1684456800111661,2026-05-25 03:55:52.768176,2026-05-25 03:56:31.225385,0 days 00:00:38.457209,0.9314579183748344,256,2,0.0014272600402733733,48,38.31003925099503,319.67139535221963,19.858288407090466,COMPLETE
86,0.15982666424313047,2026-05-25 03:56:31.247028,2026-05-25 03:56:54.493027,0 days 00:00:23.245999,0.9600064965707932,384,3,0.0015941786319110343,32,23.112935801997082,329.9500733202486,25.40575610789698,COMPLETE
87,0.04269330612543246,2026-05-25 03:56:54.517822,2026-05-25 03:57:49.848340,0 days 00:00:55.330518,0.9624998562340132,256,3,0.002786731313615165,80,55.136154999010614,10310.560067239476,7691.906488956918,COMPLETE
88,0.2628066129547256,2026-05-25 03:57:49.878648,2026-05-25 03:58:46.204547,0 days 00:00:56.325899,0.8530612257755122,256,3,0.00014217993713892867,48,56.12800193000294,10106.632661960952,291.7799935535876,COMPLETE
89,0.1237334345369743,2026-05-25 03:58:46.228136,2026-05-25 03:59:50.290372,0 days 00:01:04.062236,0.9519110348092636,256,3,0.001308612519456293,80,63.92409416299779,3684.173034304646,2506.508758566827,COMPLETE
90,0.16094309470759632,2026-05-25 03:59:50.316159,2026-05-25 04:00:25.482567,0 days 00:00:35.166408,0.9560219334528324,256,2,0.00259630597536937,24,35.02931200400053,134.3348257509606,12.087997670790381,COMPLETE
91,0.03196951644208992,2026-05-25 04:00:25.504741,2026-05-25 04:00:58.451310,0 days 00:00:32.946569,0.9691843191674222,384,4,0.0014140323998533286,80,32.79981381401012,11645.153824335348,9262.272091100072,COMPLETE
92,0.04717358349819381,2026-05-25 04:00:58.480754,2026-05-25 04:01:59.639910,0 days 00:01:01.159156,0.9436654131832644,256,3,0.0029170705856281457,80,61.03412668299279,37844.545204526934,22984.167949177037,COMPLETE
93,0.08880005462209889,2026-05-25 04:01:59.661122,2026-05-25 04:02:55.118811,0 days 00:00:55.457689,0.9612193309124628,256,3,0.002928603621215898,80,55.26558972299972,10856.37855060265,9918.156963991523,COMPLETE
94,0.06140017856400287,2026-05-25 04:02:55.144084,2026-05-25 04:03:52.260417,0 days 00:00:57.116333,0.9651055335620714,256,3,0.0026049937184132025,80,56.975473279992,5328.612729739731,4671.877908127512,COMPLETE
95,0.30121623003537296,2026-05-25 04:03:52.282231,2026-05-25 04:05:19.634764,0 days 00:01:27.352533,0.964272143716939,256,4,0.002733091575826957,80,87.21847115099081,42274.32211494114,25823.25862932907,COMPLETE
96,0.12184152552492881,2026-05-25 04:05:19.660842,2026-05-25 04:06:27.626475,0 days 00:01:07.965633,0.9287406943776867,256,3,0.0029749985554191763,80,67.82576440300909,32198.660394086655,32737.6087575797,COMPLETE
97,0.3131366415226085,2026-05-25 04:06:27.649745,2026-05-25 04:07:44.120258,0 days 00:01:16.470513,0.9196664572950263,256,4,0.0026375116777556896,64,76.33282865499496,266754.0544830386,192779.47217145722,COMPLETE
98,0.07677338829551308,2026-05-25 04:07:44.143631,2026-05-25 04:08:21.014247,0 days 00:00:36.870616,0.9593805022328791,384,4,0.0012380973593886443,80,36.72813676801161,1747.3954319492202,896.1634466503901,COMPLETE
99,0.32486011310688734,2026-05-25 04:08:21.042252,2026-05-25 04:08:57.699917,0 days 00:00:36.657665,0.9553562613394275,384,4,0.0010425414918686193,80,36.52408401700086,13267.905905435173,6113.631854944249,COMPLETE
